d100,"dragonborn, clan","dragonborn, female","dragonborn, male","dwarf, clan","dwarf, female","dwarf, male","elf, child","elf, family","elf, female","elf, male","gnome, clan","gnome, female","gnome, male","half-orc, female","half-orc, male","halfling, family","halfling, female","halfling, male","tiefling, female","tiefling, male","tiefling, virtue","arabic, female","arabic, male","celtic, female","celtic, male","chinese, female","chinese, male","egyptian, female","egyptian, male","english, female","english, male","french, female","french, male","german, female","german, male","greek, female","greek, male","indian, female","indian, male","japanese, female","japanese, male","mesoamerican, female","mesoamerican, male","niger-congo, female","niger-congo, male","norse, female","norse, male","polynesian, female","polynesian, male","roman, female","roman, male","slavic, female","slavic, male","spanish, female","spanish, male"
1-2,Akambherylliax,Akra,Adrex,Aranore,Anbera,Adrik,Ael,Aloro,Adrie,Adran,Albaratie,Abalaba,Alston,Arha,Argran,Appleblossom,Alain,Alton,Akta,Abad,Ambition,Aaliyah,Abbad,Aife,Airell,Ai,Bingwen,A'at,Ahmose,Adelaide,Adam,Aalis,Ambroys,Adelhayt,Albrecht,Acantha,Adonis,Abha,Abhay,Aika,Akio,Ahuiliztli,Achcauhtli,Abebi,Abebe,Alfhild,Agni,Ahulani,Afa,Aelia,Aelius,Agripina,Aleksandru,Abella,Alexandre
3-4,Argenthrixus,Aasathra,Arjhan,Balderk,Artin,Alberich,Ang,Amakiir,Ahinar,Aelar,Bafflestone,Bimpnottin,Alvyn,Baggi,Braak,Bigheart,Andry,Ander,Anakis,Ahrim,Art,Aida,Abdul,Aina,Airic,Anming,Bo,Ahset,Akhom,Agatha,Adelard,Agatha,Ame,Affra,Allexander,Aella,Adrastos,Aishwarya,Ahsan,Akemi,Atsushi,Atl,Amoxtli,Abena,Abel,Arnbjorg,Alaric,Airini,Ahohako,Aemilia,Aetius,Anastasiya,Berislav,Adalina,Alfonso
5-6,Baharoosh,Antrara,Azzakh,Battlehammer,Audhild,Baern,Ara,Amastacia,Althaea,Aerdeth,Beren,Breena,Anverth,Bendoo,Brug,Brightmoon,Anne,Bernie,Armara,Akmen,Carrion,Akilah,Achmed,Alane,Alan,Baozhai,Bolin,Amunet,Amasis,Agnes,Aldous,Agnez,Andri,Agatha,Baltasar,Alektos,Aeson,Amala,Ajay,Akiko,Daichi,Centehua,Chicahua,Abimbola,Abidemi,Ase,Anvindr,Alani,Aisake,Agrippina,Agrippa,Bogdana,Blazh,Adora,Alonso
7-8,Beryntolthropal,Arava,Balasar,Bigtoe,Balifra,Barendd,Ari,Ariessus,Anastrianna,Ahvain,Boondiggles,Buvvie,Arumawann,Bilga,Cagak,Brushgather,Bella,Bobbin,Astaro,Amnon,Chant,Alia,Akeem,Ardena,Anghus,Bei,Chang,Aneksi,Amenemhet,Alice,Anselm,Alberea,Andriet,Allet,Benedick,Alkippe,Aias,Ananda,Ajit,Amaya,Daiki,Chalchiuitl,Chimalli,Akoko,Abrafo,Aslog,Arvid,Aluala,Aleki,Alba,Albanus,Boleslava,Bogumir,Adriana,Anthon
9-10,Bhenkumbyrznaax,Biri,Baradad,Bloodkith,Barbena,Beloril,Arn,Arnuanna,Andraste,Aramil,Cobblelob,Callybon,Bilbron,Brakka,Dench,Cherrycheeks,Blossom,Cade,Aym,Andram,Creed,Amina,Alif,Arienh,Aodh,Caixia,Chao,Atet,Anen,Aline,Arnold,Alips,Anthoine,Angnes,Berhart,Andromeda,Aineias,Ankita,Akhil,Asami,Daisuke,Chipahua,Cipactli,Akachi,Adisa,Astrid,Asger,Anahera,Anewa,Antonia,Albus,Bozhena,Boguslav,Ana,Arcos
11-12,Caavylteradyn,Blendaeth,Bharash,Bofdann,Bardryn,Brottor,Aym,Berevan,Antinua,Arannis,Daergel,Caramip,Boddynock,Creega,Dorn,Copperkettle,Bree,Callus,Azza,Astar,Death,Atefeh,Amir,Beatha,Bardon,Changchang,Chen,Baketamon,Banefre,Anne,Bernard,Amée,Bernard,Anna,Caspar,Antigone,Aiolos,Archana,Amar,Ayumi,Eiji,Cihuaton,Coaxoch,Alaba,Amadi,Auda,Asmund,Anuhea,Anitelu,Aquila,Antonius,Danica,Borislav,Antonia,Arnaut
13-14,Chumbyxirinnish,Burana,Bidreked,Brawnanvil,Bolhild,Dain,Broe,Caerdonel,Arara,Aust,Dunben,Carlin,Brocc,Drenna,Dren,Deephollow,Callie,Corrin,Beleth,Balam,Debauchery,Chaima,Asim,Birgit,Bearacb,Chen,Cheng,Betrest,Bek,Avelina,Bertram,Amelot,Charles,Apell,Clas,Ariadne,Alekto,Avani,Amit,Bunko,Fumio,Citlali,Coyotl,Anuli,Amara,Audhid,Bjarte,Aolani,Aputi,Augusta,Appius,Darya,Bozhidar,Basilia,Arturo
15-16,Clethtinthiallor,Chassath,Dadalan,Brazzik,Dagnal,Dalgal,Bryn,Caphaxath,Baelitae,Azaki,Fabblestabble,Cumpen,Burgell,Ekk,Druuk,Elderberry,Chenna,Dannad,Bryseis,Barakas,Despair,Dalia,Bashir,Briann,Bevyn,Chou,Da,Bunefer,Djedefre,Avice,Charles,Anne,Charlot,Applonia,Cristin,Astraea,Alkeides,Chandana,Ananta,Chieko,Hajime,Citlalmina,Cualli,Ayo,Anyim,Bergljot,Bjorg,Elenoa,Ariki,Aurelia,Aquilinus,Desislava,Bratomil,Beatriz,Bartoleme
17-18,Daardendrian,Daar,Dazzazn,Broodfist,Dariff,Darrak,Cael,Casilltenirra,Bethrynna,Beiro,Fapplestamp,Dalaba,Cockaby,Emen,Feng,Fastfoot,Cora,Danniel,Bune,Bathin,Doom,Ehsan,Bassam,Caomh,Boden,Chunhua,Dingxiang,Dedyet,Djoser,Beatrice,Clerebold,Avelina,Colin,Barbara,Cristoff,Chloros,Argos,Chandrakanta,Aseem,Chika,Haru,Coszcatl,Cuauhtémoc,Bolanle,Azubuike,Birghild,Bjorn,Emele,Butat,Balbina,Atilus,Dragoslava,Bratoslav,Bonita,Benito
19-20,Delmirev,Dentratha,Direcris,Burrowfound,Delre,Delg,Cy,Cithreth,Birel,Berrian,Fiddlefen,Donella,Crampernap,Engong,Gell,Fatrabbit,Dee,Eddie,Criella,Caim,Doubt,Elham,Fahim,Cara,Bran,Daianna,Fang,Hatshepsut,Hekaib,Cecily,Conrad,Blancha,Denis,Brida,Dieterich,Chryseos,Brontes,Chetan,Ashok,Chiyo,Hideaki,Cozamalotl,Cuetlachtilo,Bosede,Bapoto,Bodil,Brandr,Fetia,Enele,Blandina,Augustus,Dunja,Bronislav,Camila,Bernat
